Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,PHYS,403,,101,STATISTICAL PHYS,"Plotkin, Steven",27,72.16,21.94,98,23,21,4,1,0,1,0,0,2,0,2,4,2,2,0,0,2,1,2,3,2,7
UBC,2002,W,PHYS,437,,101,PHYS BIOC ST&MCH,"Evans, Evan;Plotkin, Steven",4,62.5,45.96,95,30,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
UBC,2003,W,PHYS,516,,101,STAT MECHANICS,"Plotkin, Steven",4,89.75,5.32,96,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
UBC,2005,W,PHYS,305,,101,INTRO TO BIOPHYS,"Plotkin, Steven",21,78.16,12.65,93,42,18,1,2,0,0,0,0,0,0,1,1,0,0,0,1,4,2,0,5,2,4
UBC,2005,W,PHYS,516,,201,STAT MECHANICS,"Plotkin, Steven",12,82.36,10.17,99,68,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,3,2
UBC,2006,W,PHYS,516,,201,STAT MECHANICS,"Plotkin, Steven",10,80.88,8.53,91,68,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,1
UBC,2007,W,PHYS,516,,201,STAT MECHANICS,"Plotkin, Steven",13,80.18,10.16,95,57,11,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,2,2
UBC,2009,S,PHYS,270,,941,MECHANICS II,"Plotkin, Steven",67,72.73,12.45,94,35,65,2,0,0,0,0,0,0,1,1,2,4,4,5,4,8,10,5,12,9,4
UBC,2011,W,PHYS,210,,101,INTRO CPTNL PHYS,"Plotkin, Steven",54,74.41,17.72,99,16,46,5,3,0,0,0,1,1,2,1,5,0,1,2,1,12,4,5,5,7,9
UBC,2012,W,PHYS,102,,201,ELEC LIGHT & RAD,"Bates, Frances;Plotkin, Steven",184,72.59,14.91,95,40,156,20,3,0,5,0,0,0,0,20,20,8,5,14,7,16,15,17,30,26,18
UBC,2013,W,PHYS,102,,201,ELEC LIGHT & RAD,"Bates, Frances;Plotkin, Steven",222,73.41,14.55,99,42,184,27,7,1,3,0,0,0,0,27,27,7,5,7,10,17,25,25,38,26,24
UBC,2014,W,PHYS,158,,201,INTR PHYS ENG II,"Plotkin, Steven",247,67.77,13.38,100,27,223,23,0,0,1,0,0,2,6,15,23,8,27,25,30,30,33,23,21,15,11
UBC,2014,W,SCIE,113,,214,SCIE SEMINAR,"Plotkin, Steven;Steyn, Douw Gerbrand",23,66.32,17.55,94,28,17,5,1,0,0,0,0,1,1,3,5,1,0,1,1,3,2,5,2,1,1
UBC,2015,W,PHYS,158,,203,INTR PHYS ENG II,"Plotkin, Steven;Witt, Donald",249,67.37,15.3,99,25,223,24,1,0,1,0,0,2,7,15,24,32,28,19,14,16,25,36,20,17,16
UBC,2015,W,SCIE,113,,210,SCIE SEMINAR,"Plotkin, Steven",27,69.7,16.79,93,29,23,4,0,0,0,0,0,1,1,2,4,0,2,3,0,4,2,3,3,5,1
UBC,2017,W,PHYS,305,,201,INTRO TO BIOPHYS,"Plotkin, Steven",24,72,16.9,96,40,20,2,2,0,0,0,0,0,0,2,2,3,0,2,0,3,0,4,4,0,4
UBC,2017,W,PHYS,306,,201,ADV MECHANICS,"Plotkin, Steven",44,65.1,23.25,99,17,31,10,2,1,0,0,3,1,5,1,10,2,1,2,1,4,3,4,7,3,4
UBC,2018,W,PHYS,305,,201,INTRO TO BIOPHYS,"Plotkin, Steven",13,65.92,22.59,96,30,11,2,0,0,0,0,0,0,2,0,2,3,1,0,0,1,0,0,3,1,2
UBC,2018,W,PHYS,306,,201,ADV MECHANICS,"Plotkin, Steven",45,67.84,18.42,99,29,35,9,0,0,1,0,0,1,3,5,9,2,2,3,4,3,4,4,4,3,6
