Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,ADHE,329,,022,DEV WKSHP/SEM,"Palacios, Carolina;Sork, Thomas Joda",12,85.58,6.89,95,69,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,3
UBC,2009,W,EDST,314,,014,SCL ISS IN EDUC,"Palacios, Carolina;Walter, Pierre",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,ADHE,329,,63D,DEV WKSHP/SEM,"Palacios, Carolina",26,80.33,8.22,99,65,24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,7,3,4
UBC,2011,W,ADHE,412,,63A,ADUL EDUC,"Palacios, Carolina",25,85.29,3.71,91,78,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,9,4
UBC,2011,W,ADHE,412,,63C,ADUL EDUC,"Palacios, Carolina",24,80.55,7.68,93,64,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,6,4,3
UBC,2012,S,ADHE,329,,93Q,DEV WKSHP/SEM,"Palacios, Carolina",21,81.85,17.65,94,11,19,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,6,5,6
UBC,2012,S,ADHE,412,,93Q,ADUL EDUC,"Palacios, Carolina",20,78.81,14.3,98,45,15,1,1,0,0,0,0,0,0,1,1,0,0,2,0,1,1,2,2,2,5
UBC,2012,W,ADHE,329,,63B,DEV WKSHP/SEM,"Palacios, Carolina",25,70.56,17.96,95,14,24,1,0,0,0,0,1,0,0,0,1,2,3,3,1,2,3,0,4,2,4
UBC,2012,W,ADHE,329,,63C,DEV WKSHP/SEM,"Palacios, Carolina",25,73.79,15.2,93,50,19,0,4,0,0,0,0,0,0,0,0,2,2,3,0,1,2,2,0,1,6
UBC,2012,W,ADHE,412,,63A,ADUL EDUC,"Palacios, Carolina",27,84.04,5.79,96,72,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,6,7
UBC,2012,W,ADHE,412,,63C,ADUL EDUC,"Palacios, Carolina",28,69.96,24.96,96,0,22,2,1,0,0,2,0,0,0,0,2,0,3,2,1,0,5,1,1,3,6
UBC,2012,W,EDST,520,,021,ADLT EDU PRACT,"Palacios, Carolina;Walker, Judith",10,87.8,3.65,93,82,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4
UBC,2013,S,ADHE,329,,93S,DEV WKSHP/SEM,"Palacios, Carolina",22,72.29,10.54,93,51,21,0,1,0,0,0,0,0,0,0,0,1,1,1,4,3,0,5,4,1,1
UBC,2013,S,ADHE,412,,93Q,ADUL EDUC,"Palacios, Carolina",20,77.58,8.27,90,61,19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,2,5,1,4,2
UBC,2013,W,ADHE,329,,63B,DEV WKSHP/SEM,"Palacios, Carolina",28,67.5,18,93,0,25,1,1,0,0,1,0,0,0,0,1,3,1,2,3,5,2,4,1,2,2
UBC,2013,W,ADHE,329,,63C,DEV WKSHP/SEM,"Palacios, Carolina",29,77.59,10.81,97,51,27,0,1,0,0,0,0,0,0,0,0,1,0,3,1,1,2,6,4,6,3
UBC,2013,W,ADHE,412,,63A,ADUL EDUC,"Palacios, Carolina",34,80.25,6.86,93,65,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,9,5,5
UBC,2013,W,ADHE,412,,63C,ADUL EDUC,"Palacios, Carolina",36,78.57,10.62,98,60,35,0,1,0,0,0,0,0,0,0,0,0,0,2,3,6,2,3,7,5,7
UBC,2013,W,ADHE,412,,63D,ADUL EDUC,"Palacios, Carolina",36,78,12.51,91,27,33,2,0,0,0,0,0,1,0,1,2,0,0,0,0,2,4,7,10,4,6
UBC,2014,S,ADHE,329,,93Q,DEV WKSHP/SEM,"Palacios, Carolina",22,79,14.44,96,46,17,1,3,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,1,0,8
UBC,2014,S,ADHE,412,,93Q,ADUL EDUC,"Palacios, Carolina",23,70.53,26.12,93,0,17,2,2,0,0,2,0,0,0,0,2,0,0,1,0,1,4,4,1,4,2
UBC,2014,S,EDST,565,D,941,SP CRS SBJCT FLD,"Palacios, Carolina;Walker, Judith",7,92.14,1.77,95,90,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
UBC,2014,W,ADHE,327,,63A,TEACH ADULT,"Palacios, Carolina",36,78.41,10.81,95,50,32,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,4,4,10,2,6
UBC,2014,W,ADHE,327,,63D,TEACH ADULT,"Palacios, Carolina",33,76.59,13.18,98,37,31,1,0,0,0,0,0,0,1,0,1,1,1,2,0,4,4,2,5,7,5
UBC,2014,W,ADHE,412,,63A,ADUL EDUC,"Palacios, Carolina",29,76.22,11.34,96,51,27,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,7,1,5,2,5
UBC,2014,W,ADHE,412,,63B,ADUL EDUC,"Palacios, Carolina",33,78.77,9.27,91,53,31,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,4,9,6,4
UBC,2014,W,ADHE,412,,63C,ADUL EDUC,"Palacios, Carolina",19,68.89,22.82,94,24,15,3,0,0,0,0,0,2,1,0,3,2,1,0,1,1,0,1,2,3,4
UBC,2014,W,ADHE,412,,63D,ADUL EDUC,"Palacios, Carolina",26,76.17,11.48,94,50,23,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,5,1,5,4,2
UBC,2014,W,EDST,514,,021,ADU EDU PRO,"Palacios, Carolina",11,93.4,3.03,99,90,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
UBC,2015,S,ADHE,327,,93S,TEACH ADULT,"Palacios, Carolina",35,75.73,20.99,95,5,30,3,2,0,0,2,0,0,0,1,3,0,1,0,1,1,4,2,6,10,5
UBC,2015,S,ADHE,329,,93T,DEV WKSHP/SEM,"Palacios, Carolina",27,69.31,13.8,94,39,24,2,1,0,0,0,0,0,1,1,2,1,4,1,1,2,5,3,4,2,1
