Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,ASTU,150,,05N,ARTS STUDIES WRT,"Power, Katherine",28,70.93,17.07,88,8,25,2,1,0,0,1,0,0,1,0,2,0,0,3,3,2,4,3,6,4,0
UBC,2011,W,ASTU,150,,06B,ARTS STUDIES WRT,"Power, Katherine",27,73.29,16.12,92,20,23,1,3,0,0,0,0,1,0,0,1,1,3,0,2,1,3,2,5,2,4
UBC,2011,W,ASTU,150,,06N,ARTS STUDIES WRT,"Power, Katherine",31,67.23,19.7,92,6,27,3,1,0,0,2,0,0,0,1,3,1,4,1,2,4,3,5,4,2,1
UBC,2012,W,ASTU,150,,02P,ARTS STUDIES WRT,"Power, Katherine",28,70.42,9.49,90,44,25,1,2,0,0,0,0,0,0,1,1,0,2,0,5,7,4,4,0,2,1
UBC,2012,W,ASTU,150,,03D,ARTS STUDIES WRT,"Power, Katherine",30,74.77,16.03,90,8,29,1,0,0,0,1,0,0,0,0,1,1,2,1,0,1,3,8,5,7,1
UBC,2012,W,ASTU,150,,04C,ARTS STUDIES WRT,"Power, Katherine",30,71.61,13.26,95,30,27,1,2,0,0,0,0,0,1,0,1,0,4,0,4,4,6,0,5,1,3
UBC,2012,W,ASTU,150,,05P,ARTS STUDIES WRT,"Power, Katherine",30,66.43,12.42,86,25,28,2,0,0,0,0,0,1,0,1,2,2,3,3,5,4,3,4,3,1,0
UBC,2012,W,ASTU,150,,06B,ARTS STUDIES WRT,"Power, Katherine",29,74.79,10.7,89,47,28,1,0,0,0,0,0,0,0,1,1,2,0,1,1,2,6,7,5,4,0
UBC,2012,W,ASTU,150,,06P,ARTS STUDIES WRT,"Power, Katherine",29,70.75,10.09,90,41,27,1,1,0,0,0,0,0,0,1,1,0,1,4,6,1,4,7,2,1,1
UBC,2013,W,ASTU,150,,04M,ARTS STUDIES WRT,"Power, Katherine",29,68.48,8.46,82,51,27,0,2,0,0,0,0,0,0,0,0,3,1,2,4,7,5,3,2,0,0
UBC,2013,W,ASTU,150,,06M,ARTS STUDIES WRT,"Power, Katherine",27,67.04,15.59,82,0,25,1,1,0,0,1,0,0,0,0,1,2,1,0,4,6,9,2,1,0,0
UBC,2013,W,ASTU,150,,EC1,ARTS STUDIES WRT,"Power, Katherine",29,70.75,19.31,90,8,26,2,1,0,0,1,1,0,0,0,2,1,0,2,1,4,3,7,3,4,1
UBC,2013,W,ASTU,150,,EC2,ARTS STUDIES WRT,"Power, Katherine",31,75.03,12.56,91,26,30,1,0,0,0,0,0,1,0,0,1,0,1,0,5,2,3,7,6,4,2
UBC,2013,W,ASTU,150,,EC3,ARTS STUDIES WRT,"Power, Katherine",24,76.88,8.28,90,53,24,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,6,5,3,1
UBC,2013,W,ASTU,400,A,03N,INTERDISCIP STUD,"Power, Katherine",23,73.74,8.66,85,50,23,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,2,10,4,1,0
UBC,2014,W,ASTU,400,A,011,INTERDISCIP STUD,"Power, Katherine",23,69.85,20.01,86,0,17,3,2,1,0,1,0,0,0,2,3,0,0,1,1,1,6,1,3,4,0
UBC,2014,W,WRDS,150,,02N,RSRCH&WRIT HUMAN,"Power, Katherine",23,74.45,9.65,93,47,21,1,1,0,0,0,0,0,0,1,1,0,0,2,1,2,3,8,2,2,1
UBC,2014,W,WRDS,150,,03B,RSRCH&WRIT HUMAN,"Power, Katherine",27,70.78,7.88,89,55,27,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,10,3,1,1,0
