Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,APBI,324,,001,INTR SD PLNT TAX,"Cronk, Quentin Charles;Ellis, Shona Margaret",7,76.14,7.31,88,68,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0
UBC,2011,W,BIOL,324,,101,INTRO SEED PLNTS,"Cronk, Quentin Charles;Ellis, Shona Margaret",38,75.95,10.99,96,55,38,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2,4,6,8,2,6
UBC,2012,W,APBI,324,,001,INTR SD PLNT TAX,"Cronk, Quentin Charles",11,77.9,11.51,97,61,10,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,2
UBC,2012,W,BIOL,324,,101,INTRO SEED PLNTS,"Cronk, Quentin Charles",36,77.28,9.2,94,62,36,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,8,4,4,6
UBC,2012,W,BIOL,440,,201,PLANT GENOMICS,"Cronk, Quentin Charles",22,84.41,14.16,100,52,22,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,3,3,10
UBC,2013,W,APBI,324,,001,INTR SD PLNT TAX,"Cronk, Quentin Charles",10,78.2,15.12,98,50,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,2,1
UBC,2013,W,APBI,440,,001,PLANT GENOMICS,"Cronk, Quentin Charles",7,86.14,8.9,97,71,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3
UBC,2013,W,BIOL,324,,101,INTRO SEED PLNTS,"Cronk, Quentin Charles",46,78.8,12.97,98,47,44,1,1,0,0,0,0,0,0,1,1,2,1,2,1,3,5,9,5,4,12
UBC,2013,W,BIOL,440,,201,PLANT GENOMICS,"Cronk, Quentin Charles",24,91.21,5.28,100,81,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15
UBC,2014,W,APBI,324,,001,INTR SD PLNT TAX,"Cronk, Quentin Charles",9,75.5,7.73,85,63,8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,0
UBC,2014,W,BIOL,324,,101,INTRO SEED PLNTS,"Cronk, Quentin Charles",33,76.25,11.54,93,42,31,1,0,1,0,0,0,0,0,1,1,0,1,2,4,2,4,3,6,6,3
UBC,2015,W,APBI,324,,001,INTR SD PLNT TAX,"Cronk, Quentin Charles",9,72.78,11.26,85,51,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,2,1,0
UBC,2015,W,BIOL,324,,101,INTRO SEED PLNTS,"Cronk, Quentin Charles",33,78.55,9.11,96,44,32,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,4,10,9,3,3
UBC,2016,W,APBI,324,,001,INTR SD PLNT TAX,"Cronk, Quentin Charles",10,76.1,10.66,90,61,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,1,2
UBC,2016,W,BIOL,324,,101,INTRO SEED PLNTS,"Cronk, Quentin Charles",36,78.63,10.13,95,50,35,0,1,0,0,0,0,0,0,0,0,1,1,1,1,3,5,4,8,7,4
UBC,2017,W,APBI,324,,001,INTR SD PLNT TAX,"Cronk, Quentin Charles",10,76.1,7.95,90,65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,0,1
UBC,2017,W,BIOL,324,,101,INTRO SEED PLNTS,"Cronk, Quentin Charles",40,80.13,9.18,98,61,40,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,3,10,10,5
UBC,2018,W,APBI,324,,001,INTR SD PLNT TAX,"Cronk, Quentin Charles",9,70,20.91,88,18,8,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,2,2,1,0
UBC,2018,W,BIOL,324,,101,INTRO SEED PLNTS,"Cronk, Quentin Charles",39,74.37,10.16,96,50,38,0,1,0,0,0,0,0,0,0,0,1,1,3,7,1,7,9,3,2,4
UBC,2018,W,SCIE,113,,114,SCIE SEMINAR,"Cronk, Quentin Charles",25,79.96,5.42,89,69,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,7,5,0
