Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,EPSE,449,,074,EDUC STDS AUTISM,"Elfert, Miriam",30,82.03,18.07,96,0,28,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,7,7,10
UBC,2015,W,EDST,401,,001,EDU SCH SOC INST,"Elfert, Maren",29,,,,,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDST,401,,007,EDU SCH SOC INST,"Elfert, Maren",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EPSE,449,,074,EDUC STDS AUTISM,"Elfert, Miriam",25,88.16,7.94,98,62,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,3,15
UBC,2016,S,EDST,403,,307,EDUC KNOWL CURR,"Elfert, Maren",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,S,EDST,404,,308,ETHICS & TEACHIN,"Elfert, Maren",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,ADHE,328,,63A,INST ADUL EDUC,"Elfert, Maren",37,79.21,6.13,90,66,34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,3,5,13,5,2
UBC,2016,W,ADHE,328,,63C,INST ADUL EDUC,"Elfert, Maren",36,81.56,8.85,90,47,33,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,2,9,16,1
UBC,2016,W,EDST,401,,001,EDU SCH SOC INST,"Elfert, Maren",31,,,,,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,EDST,401,,007,EDU SCH SOC INST,"Elfert, Maren",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,ADHE,328,,93T,INST ADUL EDUC,"Elfert, Maren",29,80.46,8.35,89,59,28,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,3,6,13,0
UBC,2017,S,EDST,403,,302,EDUC KNOWL CURR,"Elfert, Maren",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,EDST,403,,304,EDUC KNOWL CURR,"Elfert, Maren",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,EDST,404,,306,ETHICS & TEACHIN,"Elfert, Maren",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,EDST,404,,974,ETHICS & TEACHIN,"Elfert, Maren",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,ADHE,328,,63C,INST ADUL EDUC,"Elfert, Maren",36,81.16,5.51,90,65,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,13,7,1
UBC,2017,W,ADHE,328,,63F,INST ADUL EDUC,"Elfert, Maren",36,82.09,5.65,90,68,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,9,15,1
UBC,2017,W,ADHE,330,,63F,COM ADULT EDUC,"Elfert, Maren",34,82.48,7.13,91,56,29,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,5,16,1
UBC,2018,S,ADHE,328,,93Q,INST ADUL EDUC,"Elfert, Maren",34,80.55,5.29,88,65,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,19,6,0
UBC,2018,S,ADHE,328,,93S,INST ADUL EDUC,"Elfert, Maren",31,80.22,6.8,89,58,23,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,11,6,0
UBC,2018,S,EDST,403,,301,EDUC KNOWL CURR,"Elfert, Maren",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,S,EDST,404,,301,ETHICS & TEACHIN,"Elfert, Maren",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,W,ADHE,328,,63B,INST ADUL EDUC,"Elfert, Maren",32,78.45,13.69,88,20,27,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,2,19,5,0
