Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,EDST,428,,221,SOCL FNDTN OF ED,"Egan, John Patrick",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,EDUC,500,,003,RES MTHD IN EDUC,"Egan, John Patrick;Munteanu, Mircea",28,86.22,5.01,95,78,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,11
UBC,2006,W,EDUC,500,,002,RES MTHD IN EDUC,"Egan, John Patrick",16,84.64,7.28,93,69,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,5
UBC,2006,W,ENGL,110,,011,INTRO LITERATURE,"Egan, Susanna",105,69.74,9.89,91,20,100,4,1,0,0,0,0,1,1,2,4,2,3,12,11,18,24,19,9,1,1
UBC,2006,W,ENGL,211,,002,HONRS SEMINAR,"Egan, Susanna",14,81.93,3.6,90,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,1
UBC,2006,W,ENGL,490,,007,Majors Seminar,"Egan, Susanna",16,77.06,7.26,88,67,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,2,4,0
UBC,2007,W,EDST,314,,014,SCL ISS IN EDUC,"Egan, John Patrick",29,,,,,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,ENGL,120,,001,LIT & CRITICISM,"Egan, Susanna",94,69.87,10.55,84,20,83,4,6,0,1,0,0,1,3,0,4,1,2,4,9,17,24,20,6,0,0
UBC,2007,W,ENGL,491,A,001,SR HONORS SEMNR1,"Egan, Susanna",17,82.41,4.66,92,75,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,5,1
UBC,2007,W,MAED,320,,401,C & I MATH ELEM,"CHERNOFF, EGAN",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,S,ETEC,565,A,66A,SC SUB MAT FIELD,"Egan, John Patrick",24,88.74,5.06,97,80,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12
UBC,2009,S,ETEC,565,A,66B,SC SUB MAT FIELD,"Egan, John Patrick",25,92.58,4.38,99,81,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,19
UBC,2009,S,ETEC,565,A,66C,SC SUB MAT FIELD,"Egan, John Patrick",25,89.96,4.36,98,81,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,17
UBC,2009,W,ETEC,565,A,65A,SC SUB MAT FIELD,"Egan, John Patrick",22,90,5.26,97,80,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13
UBC,2010,S,ETEC,565,A,66A,SC SUB MAT FIELD,"Egan, John Patrick",26,88.56,8.15,99,68,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,3,15
UBC,2010,W,ETEC,565,A,64A,SC SUB MAT FIELD,"Egan, John Patrick",18,90.06,9.43,99,70,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,13
UBC,2010,W,ETEC,565,A,64B,SC SUB MAT FIELD,"Egan, John Patrick",20,88.72,7.94,99,68,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,11
UBC,2011,S,ETEC,565,A,66A,SC SUB MAT FIELD,"Egan, John Patrick",23,90.13,6.6,99,74,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,15
UBC,2011,S,ETEC,565,A,66B,SC SUB MAT FIELD,"Egan, John Patrick",19,88.47,7.37,99,71,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,10
UBC,2011,S,ETEC,565,A,66C,SC SUB MAT FIELD,"Egan, John Patrick",22,88.64,6.65,98,69,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,16
UBC,2011,S,ETEC,565,A,66D,SC SUB MAT FIELD,"Egan, John Patrick",20,87.55,6.64,95,74,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,12
UBC,2011,W,ETEC,565,A,65A,SC SUB MAT FIELD,"Egan, John Patrick",18,80.41,24.43,95,0,15,2,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,3,5,7
UBC,2011,W,ETEC,565,A,65B,SC SUB MAT FIELD,"Egan, John Patrick",17,88.94,5.57,96,77,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,10
UBC,2012,S,ETEC,530,,66C,CONSTR STRAT,"Egan, John Patrick",15,88.46,3.23,92,80,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8
UBC,2012,W,COMM,394,,103,GOVT & BUSINESS,"Egan, Ed",45,79.56,7.23,92,56,45,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,8,6,11,12,3
UBC,2012,W,COMM,394,,105,GOVT & BUSINESS,"Egan, Ed",45,77.05,6.78,91,60,39,0,0,6,0,0,0,0,0,0,0,0,0,1,0,6,9,9,7,5,2
UBC,2012,W,COMM,394,,106,GOVT & BUSINESS,"Egan, Ed",46,76.31,7.79,93,57,45,0,1,0,0,0,0,0,0,0,0,0,1,1,1,9,9,7,10,5,2
UBC,2012,W,ETEC,565,A,64A,SC SUB MAT FIELD,"Egan, John Patrick",22,87.82,7.1,97,67,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,7,11
UBC,2013,S,ETEC,565,A,66A,SC SUB MAT FIELD,"Egan, John Patrick",20,85.5,9.29,95,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,3,11
UBC,2013,W,ETEC,565,A,65A,SC SUB MAT FIELD,"Egan, John Patrick",18,85.76,8.91,98,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,8
UBC,2014,S,ETEC,530,,66B,CONSTR STRAT,"Egan, John Patrick",18,82.13,7.72,94,67,16,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4
UBC,2017,W,PHAR,450,L,001,SELECTED TOPICS,"Egan, Gregory",48,83.89,4.17,95,75,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,17,3
UBC,2018,W,PHAR,450,L,001,SELECTED TOPICS,"Egan, Gregory",40,86,4.51,92,69,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,16,10
UBC,2018,W,UFOR,316,,101,TREES & SHRUBS,"Davis, Egan;Fryer, Sara",47,80.13,8.16,96,56,47,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,8,7,13,9,5
