Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,EDCP,301,,102,ART ELEM CRC&PED,"MacLennan, Nancy",30,,,,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,EDCP,301,,107,ART ELEM CRC&PED,"MacLennan, Nancy",26,,,,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,EDUC,450,A,107,INQUIRY SEMNR 1,"MacLennan, Nancy",13,,,,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,EDUC,451,A,107,INQUIRY SEMNR 2,"MacLennan, Nancy",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,301,,107,ART ELEM CRC&PED,"MacLennan, Nancy",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDUC,450,A,107,INQUIRY SEMNR 1,"MacLennan, Nancy",16,,,,,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDUC,451,A,107,INQUIRY SEMNR 2,"MacLennan, Nancy",15,,,,,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,S,EDCP,412,,951,COND&REH TECH,"MacLennan, Donald",15,89.73,5.05,97,76,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7
UBC,2016,W,EDCP,301,,107,ART ELEM CRC&PED,"MacLennan, Nancy",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,EDUC,450,A,117,INQUIRY SEMNR 1,"MacLennan, Nancy",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2016,W,EDUC,451,A,117,INQUIRY SEMNR 2,"MacLennan, Nancy",18,,,,,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,S,EDUC,452,A,107,INQUIRY SEMNR 3,"MacLennan, Nancy",29,,,,,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,W,EDCP,412,,301,COND&REH TECH,"MacLennan, Donald",25,86.28,6.69,98,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,7,8
