Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,MUSC,107,C,001,COMPOSITION I,"Chang Bortolussi, Dorothy",23,77.67,9.88,87,40,20,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,4,5,5,5,0
UBC,2003,W,MUSC,309,,001,INSTRUMENTATION,"Chang Bortolussi, Dorothy",34,75.18,10.43,88,46,33,1,0,0,0,0,0,0,0,1,1,0,2,2,2,3,6,3,10,5,0
UBC,2003,W,MUSC,407,C,001,COMPOSITION IV,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith;Tenzer, Michael",11,83.73,5.33,90,75,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,2
UBC,2005,W,MUSC,107,C,001,COMPOSITION I,"Chang Bortolussi, Dorothy;Chatman, Stephen",10,80.1,4.28,86,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,0
UBC,2005,W,MUSC,207,C,002,COMPOSITION 2,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith;Tenzer, Michael",5,76.8,3.49,81,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
UBC,2005,W,MUSC,310,,001,ORCHESTRATION,"Chang Bortolussi, Dorothy",34,77.5,13.05,93,24,33,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,4,4,11,8,2
UBC,2005,W,MUSC,509,B,001,ADV ORCHESTRATON,"Chang Bortolussi, Dorothy",8,85.5,4.44,92,79,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2
UBC,2006,W,MUSC,107,C,001,COMPOSITION I,"Chang Bortolussi, Dorothy;Chatman, Stephen",15,80.64,3.79,88,73,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,2,0
UBC,2006,W,MUSC,207,C,001,COMPOSITION 2,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",4,81,4.16,86,76,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
UBC,2006,W,MUSC,309,,001,INSTRUMENTATION,"Chang Bortolussi, Dorothy",39,78.89,6.71,88,61,38,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,6,6,13,8,0
UBC,2006,W,MUSC,310,,001,ORCHESTRATION,"Chang Bortolussi, Dorothy",32,78.59,6.76,89,56,32,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,6,11,6,0
UBC,2006,W,MUSC,607,C,001,COMPOSITION,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",4,89,7.07,94,84,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
UBC,2007,W,MUSC,107,C,001,COMPOSITION I,"Chang Bortolussi, Dorothy;Chatman, Stephen",14,82.21,6.91,94,70,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3
UBC,2007,W,MUSC,207,C,001,COMPOSITION 2,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",7,87.83,3.66,93,84,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
UBC,2007,W,MUSC,307,C,001,COMPOSITION 3,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",5,83.8,2.77,87,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
UBC,2009,W,MUSC,107,C,001,COMPOSITION I,"Chang Bortolussi, Dorothy;Chatman, Stephen",6,83.33,5.72,87,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0
UBC,2009,W,MUSC,307,C,001,COMPOSITION 3,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",6,87.17,2.48,90,84,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
UBC,2009,W,MUSC,310,,001,ORCHESTRATION,"Chang Bortolussi, Dorothy",33,78.16,7.11,87,60,31,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,2,8,10,6,0
UBC,2009,W,MUSC,407,C,001,COMPOSITION IV,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",5,89,4.69,95,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
UBC,2010,W,MUSC,107,C,001,COMPOSITION I,"Chang Bortolussi, Dorothy;Chatman, Stephen",13,82.85,3.8,88,77,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0
UBC,2010,W,MUSC,310,,001,ORCHESTRATION,"Chang Bortolussi, Dorothy",33,76.55,8.25,89,53,33,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,3,10,11,3,0
UBC,2011,W,MUSC,107,C,002,COMPOSITION I,"Chang Bortolussi, Dorothy;Chatman, Stephen",9,83.22,2.39,86,79,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0
UBC,2011,W,MUSC,307,C,001,COMPOSITION 3,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",4,87.25,5.25,92,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UBC,2011,W,MUSC,310,,001,ORCHESTRATION,"Chang Bortolussi, Dorothy",34,76.18,7.28,85,57,34,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,6,8,8,5,0
UBC,2012,W,MUSC,107,C,002,COMPOSITION I,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",15,86.87,3.87,92,79,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,4
UBC,2012,W,MUSC,207,C,001,COMPOSITION 2,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",4,87,2.94,90,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
UBC,2012,W,MUSC,207,C,002,COMPOSITION 2,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",7,73.86,32.62,88,0,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0
UBC,2012,W,MUSC,307,C,001,COMPOSITION 3,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",4,90.5,2.65,93,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,2012,W,MUSC,310,,001,ORCHESTRATION,"Chang Bortolussi, Dorothy",36,75.97,8.36,87,45,35,1,0,0,0,0,0,0,0,1,1,0,0,0,4,4,4,13,3,7,0
UBC,2012,W,MUSC,407,C,001,COMPOSITION IV,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",4,89.75,2.5,93,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,2013,W,MUSC,107,C,002,COMPOSITION I,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",10,85,3.67,90,78,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1
UBC,2013,W,MUSC,207,C,002,COMPOSITION 2,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",6,85.6,3.21,90,82,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
UBC,2013,W,MUSC,307,C,001,COMPOSITION 3,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",4,87,4.55,92,81,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
UBC,2013,W,MUSC,407,C,001,COMPOSITION IV,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",4,90.75,3.86,95,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,2013,W,MUSC,507,C,001,COMPOSITION,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",5,94,2.24,95,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2014,W,MUSC,107,C,002,COMPOSITION I,"Chang Bortolussi, Dorothy;Chatman, Stephen",10,85,5.61,94,77,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2
UBC,2014,W,MUSC,310,,001,ORCHESTRATION,"Chang Bortolussi, Dorothy",32,74.09,7.98,88,60,32,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,8,6,1,6,0
UBC,2015,W,MUSC,107,C,002,COMPOSITION I,"Chang Bortolussi, Dorothy;Chatman, Stephen",9,84.22,4.66,91,78,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2
UBC,2015,W,MUSC,207,C,001,COMPOSITION 2,"Chang Bortolussi, Dorothy;Chatman, Stephen;Hamel, Keith",4,88.5,1,90,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
