Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,ISCI,448,B,210,DIR STUDIES,"Blok, Hendrik;Steyn, Douw Gerbrand",26,79.5,8.76,100,64,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,4,9,3,3
UBC,2005,W,ISCI,300,,001,INTERDSC SEMINAR,"Blok, Hendrik",44,,,,,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,ISCI,320,,201,INTRDSC SC FLD,"Blok, Hendrik;Doebeli, Michael Walter",13,82.85,3.56,90,78,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1
UBC,2005,W,ISCI,422,,201,MDLS IN SCIENCE,"Blok, Hendrik",26,81.08,6.44,92,69,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,6,3
UBC,2006,W,ISCI,300,,001,INTERDSC SEMINAR,"Blok, Hendrik",35,,,,,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,ISCI,320,,201,INTRDSC SC FLD,"Blok, Hendrik",15,81.07,4.46,88,74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,5,0
UBC,2006,W,ISCI,422,,201,MDLS IN SCIENCE,"Blok, Hendrik;Fletcher, Jeffrey",14,77.86,9.74,94,57,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,5,1,2
UBC,2007,W,ISCI,300,,001,INTERDSC SEMINAR,"Blok, Hendrik;Fletcher, Jeffrey",47,,,,,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,ISCI,320,,201,INTRDSC SC FLD,"Blok, Hendrik;Groat, Lee",19,79.22,3.3,83,72,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,0,0
UBC,2007,W,ISCI,422,,201,MDLS IN SCIENCE,"Blok, Hendrik",14,75.93,7.52,87,60,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,5,2,0
UBC,2009,W,ISCI,300,,001,INTERDSC SEMINAR,"Blok, Hendrik",51,,,,,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,ISCI,320,,201,INTRDSC SC FLD,"Blok, Hendrik;Doebeli, Michael Walter",32,79.97,3.33,86,71,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,19,1,0
UBC,2009,W,ISCI,422,,201,MDLS IN SCIENCE,"Blok, Hendrik",17,79.65,9.22,93,59,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,3,2,4
UBC,2010,W,ISCI,300,,001,INTERDSC SEMINAR,"Blok, Hendrik",85,,,,,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
