Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2015,W,ENGL,112,,02Q,UNIVRSTY WRITING,"Scholes, Judith",29,75.45,8.36,85,49,28,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,9,6,9,1,0
UBC,2015,W,ENGL,112,,05A,UNIVRSTY WRITING,"Scholes, Judith",32,74.09,6.27,88,59,32,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,9,9,4,1,0
UBC,2015,W,ENGL,112,,12P,UNIVRSTY WRITING,"Scholes, Judith",35,72.26,6.81,83,55,34,0,1,0,0,0,0,0,0,0,0,0,2,3,1,8,7,9,4,0,0
UBC,2015,W,ENGL,112,,13N,UNIVRSTY WRITING,"Scholes, Judith",31,74.9,5.09,87,63,31,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,4,13,4,1,0
UBC,2016,S,ENGL,112,,MA4,UNIVRSTY WRITING,"Scholes, Judith",34,77.09,4.64,87,68,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,11,1,0
UBC,2016,W,ENGL,112,,04D,UNIVRSTY WRITING,"Scholes, Judith",32,74.34,10.95,83,17,31,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,10,13,6,0,0
UBC,2016,W,ENGL,112,,06C,UNIVRSTY WRITING,"Scholes, Judith",32,76.55,6.02,85,65,31,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,7,13,1,0
UBC,2016,W,ENGL,112,,08B,UNIVRSTY WRITING,"Scholes, Judith",30,74.5,5.82,83,53,30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,9,9,6,0,0
UBC,2017,W,ENGL,100,,009,"READ, WRITE LIT","Scholes, Judith",32,73.72,11.29,90,27,31,1,0,0,0,0,0,1,0,0,1,0,1,2,2,4,5,9,5,2,1
UBC,2017,W,ENGL,112,,06P,UNIVRSTY WRITING,"Scholes, Judith",32,71.69,14.33,88,22,30,2,0,0,0,0,0,2,0,0,2,0,0,2,2,3,6,11,3,3,0
UBC,2017,W,ENGL,112,,07N,UNIVRSTY WRITING,"Scholes, Judith",30,76.83,4.49,85,68,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,6,1,0
UBC,2017,W,ENGL,112,,12C,UNIVRSTY WRITING,"Scholes, Judith",34,74.88,7.82,92,47,33,1,0,0,0,0,0,0,0,1,1,0,0,0,2,5,11,9,3,2,1
UBC,2017,W,ENGL,364,A,002,19TH CENTURY,"Scholes, Judith",43,75.68,14.81,93,0,39,2,2,0,0,1,0,0,0,1,2,0,0,2,0,4,6,9,14,1,3
UBC,2018,S,ENGL,112,,MA5,UNIVRSTY WRITING,"Scholes, Judith",33,75.97,4.08,86,69,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,12,5,1,0
UBC,2018,S,ENGL,112,,MA6,UNIVRSTY WRITING,"Scholes, Judith",32,71.71,7.38,85,50,31,0,1,0,0,0,0,0,0,0,0,1,1,2,5,5,4,10,1,2,0
UBC,2018,W,ENGL,112,,06R,UNIVRSTY WRITING,"Scholes, Judith",31,78.5,3.42,84,70,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,15,11,0,0
UBC,2018,W,WRDS,150,,02N,RSRCH&WRIT HUMAN,"Scholes, Judith",30,77.69,5.76,86,65,26,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,5,7,9,2,0
UBC,2018,W,WRDS,150,,03P,RSRCH&WRIT HUMAN,"Scholes, Judith",30,76.67,7.11,88,55,30,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,6,8,7,3,0
UBC,2018,W,WRDS,150,,04C,RSRCH&WRIT HUMAN,"Scholes, Judith",30,75.47,9.25,86,35,29,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,6,11,8,1,0
UBC,2018,W,WRDS,150,,06C,RSRCH&WRIT HUMAN,"Scholes, Judith",30,74.47,7.1,85,48,29,1,0,0,0,0,0,0,0,1,1,0,0,0,3,5,7,7,6,1,0
UBC,2018,W,WRDS,150,,08B,RSRCH&WRIT HUMAN,"Scholes, Judith",30,73.33,5.37,80,60,30,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,10,11,2,0,0
