Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,LLED,200,,V91,INTRO ACAD WRIT,"Gradin, Christopher",14,53.21,11.33,67,37,8,6,0,0,0,0,0,0,2,4,6,0,2,2,4,0,0,0,0,0,0
UBC,2014,W,LLED,200,,V98,INTRO ACAD WRIT,"Gradin, Christopher",15,53.73,14.94,80,20,9,6,0,0,0,0,0,1,1,4,6,1,3,1,2,0,1,0,1,0,0
UBC,2014,W,LLED,201,,V93,CRIT READ&WRIT,"Gradin, Christopher",11,62.18,9.17,77,48,10,1,0,0,0,0,0,0,0,1,1,2,1,2,3,0,1,1,0,0,0
UBC,2014,W,LLED,201,,V97,CRIT READ&WRIT,"Gradin, Christopher",14,61.43,6.22,74,45,13,1,0,0,0,0,0,0,0,1,1,0,1,10,0,1,1,0,0,0,0
UBC,2014,W,VANT,140,E,V02,CONTENT LANG TUT,"Gradin, Christopher",14,66.27,11.69,84,51,11,0,3,0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,3,0,0
UBC,2015,S,VANT,140,A,V09,CONTENT LANG TUT,"Gradin, Christopher",17,56.71,15.28,74,4,15,2,0,0,0,1,0,0,0,1,2,3,2,5,4,0,1,0,0,0,0
UBC,2015,W,LLED,200,,V90,INTRO ACAD WRIT,"Gradin, Christopher",16,66.25,8.4,77,50,16,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,3,2,0,0,0
UBC,2015,W,LLED,200,,V96,INTRO ACAD WRIT,"Gradin, Christopher",18,63.83,7.53,77,47,17,1,0,0,0,0,0,0,0,1,1,1,3,3,6,1,1,2,0,0,0
UBC,2015,W,LLED,201,,V90,CRIT READ&WRIT,"Gradin, Christopher",16,61.25,6.13,70,47,15,1,0,0,0,0,0,0,0,1,1,3,0,5,6,1,0,0,0,0,0
UBC,2015,W,LLED,201,,V96,CRIT READ&WRIT,"Gradin, Christopher",18,59.67,9.42,78,40,16,2,0,0,0,0,0,0,0,2,2,3,3,4,3,2,0,1,0,0,0
UBC,2015,W,VANT,140,D,VE2,CONTENT LANG TUT,"Gradin, Christopher",18,70.22,8,81,55,18,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,4,3,2,0,0
UBC,2016,W,LLED,200,,V93,INTRO ACAD WRIT,"Gradin, Christopher",14,51.14,11.82,73,23,9,5,0,0,0,0,0,1,1,3,5,2,6,0,0,0,1,0,0,0,0
UBC,2016,W,LLED,200,,V97,INTRO ACAD WRIT,"Gradin, Christopher",13,55.62,9.25,70,33,11,2,0,0,0,0,0,0,1,1,2,1,6,2,1,1,0,0,0,0,0
UBC,2016,W,LLED,201,,V95,CRIT READ&WRIT,"Gradin, Christopher",12,62.67,5.21,71,53,12,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,0,0,0,0,0
UBC,2016,W,VANT,140,D,V02,CONTENT LANG TUT,"Gradin, Christopher",12,72.27,3.85,77,65,11,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,5,3,0,0,0
UBC,2016,W,VANT,140,D,V04,CONTENT LANG TUT,"Gradin, Christopher",12,60.08,19.97,75,2,11,1,0,0,0,1,0,0,0,0,1,2,0,4,0,2,3,0,0,0,0
UBC,2016,W,VANT,140,D,V22,CONTENT LANG TUT,"Gradin, Christopher",9,74.13,3.8,79,69,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0
UBC,2016,W,VANT,140,D,V24,CONTENT LANG TUT,"Gradin, Christopher",7,73.4,6.8,84,65,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0
UBC,2017,W,LLED,200,,V92,INTRO ACAD WRIT,"Gradin, Christopher",14,59.79,10.27,83,44,13,1,0,0,0,0,0,0,0,1,1,3,4,1,2,2,0,0,1,0,0
UBC,2017,W,LLED,200,,V94,INTRO ACAD WRIT,"Gradin, Christopher",14,59,9.66,73,35,12,2,0,0,0,0,0,0,1,1,2,1,4,2,3,1,1,0,0,0,0
UBC,2017,W,VANT,140,D,V05,CONTENT LANG TUT,"Gradin, Christopher",11,70,5.78,77,61,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,0,0,0
UBC,2017,W,VANT,140,D,V22,CONTENT LANG TUT,"Gradin, Christopher",11,68.7,11.01,81,43,9,1,1,0,0,0,0,0,0,1,1,0,0,1,2,1,3,0,2,0,0
UBCV,2014,W,LLED,200,,V91,Introduction to Writing in Academic and Professional Registers,Christopher Gradin;Sandra Zappa,14,53.21428571,11.32851115,67.0,37.0,,,,,,,,,,,6,,,,,0,0,0,0,0,0
UBCV,2014,W,LLED,200,,V98,Introduction to Writing in Academic and Professional Registers,Christopher Gradin;Sandra Zappa,15,53.73333333,14.94497845,80.0,20.0,,,,,,,,,,,6,,,,,,,,,0,0
UBCV,2014,W,LLED,201,,V93,Critical Reading and Writing in Academic and Professional Registers,Christopher Gradin,11,62.18181818,9.174074142,77.0,48.0,,,,,,,,,,,,,,,,,,,0,0,0
