Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2007,W,AUDI,590,C,001,SP-LG PATH PR I,"MacLeod, Elizabeth D;Taylor, Sandra Lynn",22,86.91,3.18,95,82,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,2,,,
UBC,2009,S,AUDI,594,C,973,SP-LG PTH PRC II,"Avery, Lisa Ann;Taylor, Sandra Lynn",21,91.19,4.45,95,77,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,17,,,
UBC,2009,W,AUDI,545,,002,ISSUES CLIN PRAC,"TBA;Taylor, Sandra Lynn",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2009,W,AUDI,547,A,001,DIR READ AUDI&SP,"Avery, Lisa Ann;Taylor, Sandra Lynn",24,89.96,4.4,98,82,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,10,,,
UBC,2009,W,AUDI,559,,001,PRAC SP-LNG PATH,"Avery, Lisa Ann;Taylor, Sandra Lynn",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2009,W,AUDI,593,,001,SP-LG PTH PR III,"Avery, Lisa Ann;Taylor, Sandra Lynn",22,90.41,4.47,95,82,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,14,,,
UBC,2010,S,AUDI,559,,932,PRAC SP-LNG PATH,"Taylor, Sandra Lynn",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2010,S,AUDI,590,C,933,SP-LG PATH PR I,"Avery, Lisa Ann;Taylor, Sandra Lynn",24,86.42,3.69,92,82,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,,,
UBC,2010,S,AUDI,591,C,973,SP-LG PATH PR II,"Avery, Lisa Ann;Taylor, Sandra Lynn",25,86.92,4.39,95,77,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,7,,,
UBC,2010,S,AUDI,594,C,973,SP-LG PTH PRC IV,"Avery, Lisa Ann;Taylor, Sandra Lynn",22,92.55,4.97,100,82,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,19,,,
