Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",22,79.23,8.19,92,56,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,3,7,4,2
UBC,2002,W,FRST,386,,201,Aqua Eco in Frst,"Hinch, Scott",44,66.4,9.1,88,50,42,0,1,0,1,0,0,0,0,0,0,2,9,4,12,5,2,2,5,1,0
UBC,2003,W,CONS,449,C,103,DIR ST NTL RS CN,"Hinch, Scott",4,60.75,41.26,92,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
UBC,2003,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",17,77.29,8.75,89,60,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,7,2,4,0
UBC,2003,W,FRST,386,,201,Aqua Eco in Frst,"Hinch, Scott",45,72.58,10.21,90,43,42,1,1,0,1,0,0,0,0,1,1,1,0,7,4,3,8,9,4,5,1
UBC,2003,W,RMES,586,,201,FISH CONSERVE,"Hinch, Scott",4,86.5,11.09,93,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
UBC,2005,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",36,79.2,12.06,95,53,35,0,1,0,0,0,0,0,0,0,0,1,2,3,2,0,1,4,8,6,8
UBC,2005,W,FRST,386,,201,Aqua Eco in Frst,"Hinch, Scott;Richardson, John",54,71.41,11.61,96,36,49,2,0,0,3,0,0,0,1,1,2,3,2,2,5,11,6,6,9,4,1
UBC,2005,W,RMES,502,,201,SEM RESRCE & ENV,"Dowlatabadi, Hadi;Hinch, Scott",9,80,0,80,80,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UBC,2006,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",33,73.28,11.46,93,50,32,0,0,1,0,0,0,0,0,0,0,3,0,4,3,3,4,5,5,2,3
UBC,2006,W,FRST,386,,201,Aqua Eco in Frst,"Hinch, Scott;Richardson, John",64,73.14,10.38,95,51,63,0,0,1,0,0,0,0,0,0,0,3,3,5,5,12,11,9,3,8,4
UBC,2007,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",31,76.58,10.23,93,60,31,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,5,4,4,3,5
UBC,2007,W,FRST,386,,201,Aqua Eco in Frst,"Hinch, Scott;Richardson, John",67,68.59,10.76,96,46,65,1,1,0,0,0,0,0,0,1,1,4,6,13,8,11,8,3,6,4,2
UBC,2009,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",35,78.57,10.07,95,54,35,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,4,3,13,2,6
UBC,2009,W,FRST,386,,201,AQUA ECOSYS&FISH,"Hinch, Scott;Richardson, John",81,78.54,7.97,93,57,79,0,2,0,0,0,0,0,0,0,0,0,2,1,3,9,13,11,17,20,3
UBC,2010,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",31,79.35,9.02,93,61,31,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,2,10,4,5
UBC,2010,W,FRST,386,,201,AQUA ECOSYS&FISH,"Hinch, Scott;Richardson, John",89,78.98,6.84,97,56,89,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7,13,13,37,12,3
UBC,2010,W,RMES,586,,201,FISH CONSERVE,"Hinch, Scott",4,91.5,4.8,96,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,2011,W,CONS,451,,101,INTGRTD FLD SCHL,"Hinch, Scott;Lavallee, Susanne",31,83.45,3.7,91,77,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,12,1
UBC,2011,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",34,78.5,8.68,92,62,34,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,1,12,8,2
UBC,2011,W,FRST,386,,201,AQUA ECOSYS&FISH,"Hinch, Scott;Richardson, John",92,75.63,8.86,90,46,90,1,0,0,1,0,0,0,0,1,1,1,1,8,6,10,14,11,25,12,2
UBC,2012,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",29,77.11,11.59,94,50,28,0,1,0,0,0,0,0,0,0,0,1,0,2,4,2,3,3,3,7,3
UBC,2012,W,FRST,386,,201,AQUA ECOSYS&FISH,"Hinch, Scott;Richardson, John",119,76.35,11.35,95,28,115,3,1,0,0,0,0,1,0,2,3,1,6,7,4,8,12,23,30,16,8
UBC,2013,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",43,82.3,8.36,93,60,43,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,11,15,6
UBC,2014,W,CONS,449,C,103,DIR ST NTL RS CN,"Hinch, Scott",5,88.2,6.61,95,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
UBC,2014,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",57,79.3,10.33,95,53,57,0,0,0,0,0,0,0,0,0,0,1,3,1,3,4,5,9,10,11,10
UBC,2014,W,FRST,386,,201,AQUA ECOSYS&FISH,"Hinch, Scott;Richardson, John",130,75.11,11.64,95,44,128,1,0,1,0,0,0,0,0,1,1,9,5,7,9,14,12,15,30,19,8
UBC,2015,W,CONS,451,,101,INTGRTD FLD SCHL,"Aitken, Sally;Hinch, Scott;Lavallee, Susanne",36,81.92,5.02,88,68,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,13,14,0
UBC,2015,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",43,77.77,10.94,98,56,43,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,2,7,7,11,4
UBC,2015,W,FRST,386,,201,AQUA ECOSYS&FISH,"Hinch, Scott;Richardson, John",130,78.29,10.36,96,42,127,1,2,0,0,0,0,0,0,1,1,1,5,5,7,8,22,14,24,22,19
UBC,2016,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",49,81.32,8.15,94,57,47,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,4,6,13,12,7
UBC,2016,W,FRST,386,,201,AQUA ECOSYS&FISH,"Bett, Nolan;Hinch, Scott",144,75.12,11.7,95,44,142,2,0,0,0,0,0,0,0,2,2,6,11,7,9,15,17,20,19,20,18
UBC,2017,W,CONS,486,,201,FISH CONS/MGMT,"Hinch, Scott",42,81.02,8.03,95,63,42,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,5,12,11,5
