Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,EDST,314,,011,SCL ISS IN EDUC,"Hern, Matt",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,EDST,314,,007,SCL ISS IN EDUC,"Hern, Matt",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,S,CUST,432,,951,MEDIA EDUC,"Hern, Matt",40,85.15,2.76,91,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,3
UBC,2009,S,CUST,432,,952,MEDIA EDUC,"Hern, Matt",37,85.78,3.04,91,81,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,5
UBC,2009,W,EDST,314,,003,SCL ISS IN EDUC,"Hern, Matt",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,EDST,426,,102,HISTORY OF EDUC,"Hern, Matt",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EDCP,481,,951,MEDIA STUDIES,"Hern, Matt",40,84.15,2.8,89,78,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,17,0
UBC,2012,W,EDST,401,,009,EDUC SCHOOL SOC,"Hern, Matt",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2012,W,EDST,402,,009,EDUC & MEDIA,"Hern, Matt",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,S,EDST,582,,93A,STDY EDUC ORGAN,"Hern, Matt",20,86.63,2.52,94,84,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,1
UBC,2014,W,PLAN,548,L,001,CURRENT ISSUES,"Hern, Matt",12,89.45,4.13,95,80,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7
UBC,2015,W,PLAN,548,L,001,CURRENT ISSUES,"Hern, Matt",7,87.83,4.07,91,80,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
UBCV,2014,W,PLAN,548,L,001,Current Issues in Planning,Matt Hern,11,89.45454546,4.13191569,95.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,,,7
UBCV,2015,W,PLAN,548,L,001,Current Issues in Planning,Matt Hern,6,87.833333333,4.070217029,91.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,,,
