Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,AGRO,322,,001,Hort Tech,"JUSTICE, DOUGLAS;Jolliffe, Peter A",14,80.08,6.7,89,65,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,3,0
UBC,2002,W,LARC,316,,001,TREE SHRB LND,"JUSTICE, DOUGLAS",29,80.74,14.21,98,50,27,0,1,1,0,0,0,0,0,0,0,1,1,3,2,0,2,1,1,5,11
UBC,2003,W,AGRO,322,,001,Hort Tech,"JUSTICE, DOUGLAS",19,69.63,17.76,84,0,18,1,0,0,0,1,0,0,0,0,1,0,0,0,4,1,7,4,2,0,0
UBC,2003,W,LARC,316,,001,TREE SHRB LND,"JUSTICE, DOUGLAS",31,83.28,8.6,96,63,29,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,5,4,8,8
UBC,2005,W,AGRO,322,,001,Hort Tech,"JUSTICE, DOUGLAS",15,80.4,11.1,93,53,15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,2,5,2
UBC,2005,W,LARC,316,,001,TREE SHRB LND,"JUSTICE, DOUGLAS",23,84.43,9.88,97,60,21,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,4,6,7
UBC,2006,W,LARC,316,,001,TREE SHRB LND,"JUSTICE, DOUGLAS",23,80.61,8.04,94,64,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,5,5,3
UBC,2007,W,AGRO,322,,001,Hort Tech,"JUSTICE, DOUGLAS",16,83.8,10.5,94,49,14,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,3,4
UBC,2007,W,LARC,316,,001,TREE SHRB LND,"JUSTICE, DOUGLAS",20,83.95,11.01,97,54,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,4,4,7
UBC,2009,W,APBI,322,,001,HORT TECHNIQUES,"JUSTICE, DOUGLAS",15,79,16.05,94,27,14,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,3,6,1
UBC,2009,W,LARC,316,,001,TREE SHRB LND,"JUSTICE, DOUGLAS",23,84.36,9.32,94,53,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,5,6,7
UBC,2009,W,MUSC,165,D,001,ASIAN MUSIC ENS,"Gbolonyo, Justice",8,93.5,3.63,99,88,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
UBC,2009,W,MUSC,428,E,001,AREA STDY-ETHNIC,"Gbolonyo, Justice",15,94,4.22,97,84,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12
UBC,2009,W,MUSC,531,D,001,SEM ETHNMUSCOLGY,"Gbolonyo, Justice",5,94.6,2.19,97,93,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2009,W,MUSC,565,D,001,ASIAN MUSIC ENS,"Gbolonyo, Justice",6,92.75,4.5,95,86,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,2010,S,LARC,582,B,001,SP TPCS SEMINAR,"JUSTICE, DOUGLAS",8,88.63,3.34,94,83,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3
UBC,2010,W,APBI,322,,001,HORT TECHNIQUES,"JUSTICE, DOUGLAS",16,83.44,6.92,94,71,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,4
UBC,2010,W,LARC,316,,001,TREE SHRB LND,"JUSTICE, DOUGLAS",24,86.17,8.05,99,64,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,7,7
UBC,2010,W,MUSC,165,D,001,ASIAN MUSIC ENS,"Gbolonyo, Justice",19,87.94,9.27,99,71,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,10
UBC,2010,W,MUSC,428,E,001,AREA STDY-ETHNIC,"Gbolonyo, Justice",11,89.4,4.6,95,78,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6
UBC,2011,W,AFST,250,A,001,INTRO AFRI STUDY,"Gbolonyo, Justice",43,90.24,4.73,97,78,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,15,22
UBC,2011,W,LARC,316,,001,TREE SHRB LND,"JUSTICE, DOUGLAS",19,85.47,7.38,96,72,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,4,6
